"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"2:58:19.8997310","wmiprvse.exe","9452","RegOpenKey","HKLM","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read"
"2:58:19.8997542","wmiprvse.exe","9452","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:58:19.8998420","wmiprvse.exe","9452","RegOpenKey","HKLM\Software\Microsoft\WBEM\Tracing\Providers","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read/Write, Delete"
"2:58:19.8999069","wmiprvse.exe","9452","RegCloseKey","HKLM","SUCCESS",""
"2:58:19.8999908","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\PerfLibEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"2:58:19.9000776","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\PerfLibInterval_ms","SUCCESS","Type: REG_DWORD, Length: 4, Data: 100"
"2:58:19.9001412","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\IsToCleanupTraces","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"2:58:19.9002080","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\IsTrackingOperationOnly","NAME NOT FOUND","Length: 16"
"2:58:19.9003504","wmiprvse.exe","9452","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers","SUCCESS",""
"2:58:19.9004323","wmiprvse.exe","9452","RegOpenKey","HKLM","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read"
"2:58:19.9004806","wmiprvse.exe","9452","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:58:19.9005576","wmiprvse.exe","9452","RegOpenKey","HKLM\Software\Microsoft\WBEM\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"2:58:19.9006122","wmiprvse.exe","9452","RegCloseKey","HKLM","SUCCESS",""
"2:58:19.9006606","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2\134194570999016907","NAME NOT FOUND","Length: 12"
"2:58:19.9007153","wmiprvse.exe","9452","RegSetValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2\134194570999016907","SUCCESS","Type: REG_SZ, Length: 180, Data: ExecQueryAsync: select __RELPATH, CommandLine from Win32_Process where ProcessId = 145420"
"2:58:19.9010068","wmiprvse.exe","9452","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS",""
"2:58:20.0436615","wmiprvse.exe","9452","RegOpenKey","HKLM","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read"
"2:58:20.0438418","wmiprvse.exe","9452","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:58:20.0439943","wmiprvse.exe","9452","RegOpenKey","HKLM\Software\Microsoft\WBEM\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"2:58:20.0440717","wmiprvse.exe","9452","RegCloseKey","HKLM","SUCCESS",""
"2:58:20.0441551","wmiprvse.exe","9452","RegQueryKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Query: HandleTags, HandleTags: 0x0"
